hsg_owner	hsg_adm	hsg_sigil	hsg_kurzbenennung	hsg_bibliothek	hsg_geloescht	hsg_id
O9022	EDK50	Walb 1	Bornheim: B St.Albert	Bibliothek St. Albert Walberberg, Bornheim/Rheinland	NULL	3043
D0001	EDU50	464	DU: UB	Universitätsbibliothek Duisburg-Essen, Campus Duisburg	NULL	3044
E0001	EDU50	465	E: UB	Universitätsbibliothek Duisburg-Essen, Campus Essen	NULL	3045
E0002	EDU50	465 M/1	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Institut für Anatomie	2020-06-17 13	:04	:11	3046
E0003	EDU50	465 M/10	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Institut für Pathologie	2020-06-17 13	:04	:28	3047
E0004	EDU50	465 M/11	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Institut für Pharmakologie	2020-06-17 13	:04	:38	3048
E0005	EDU50	465 M/12	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Rheinische Landes- und Hochschulklinik	2020-06-17 13	:05	:03	3049
E0006	EDU50	465 M/13	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Institut für Rechtsmedizin	2020-06-17 13	:05	:15	3050
E0007	EDU50	465 M/14	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Klinik und Poliklinik für Strahlentherapie	2020-06-17 13	:05	:41	3051
E0008	EDU50	465 M/15	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Innere Klinik und Poliklinik (Tumorforschung)	2020-06-17 13	:05	:56	3052
E0009	EDU50	465 M/16	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Klinik und Poliklinik für Urologie	2020-06-17 13	:06	:18	3053
E0010	EDU50	465 M/17	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Zentrales Tierlaboratorium	2020-06-17 13	:06	:38	3054
E0011	EDU50	465 M/18	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Institut für Zellbiologie	2020-06-17 13	:07	:03	3055
E0012	EDU50	465 M/19	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Institut für Medizinische Informatik, Biometrie und Epidemiologie	2020-06-17 13	:07	:28	3056
E0013	EDU50	465 M/2	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Zentrum für Augenheilkunde	2020-06-17 13	:07	:53	3057
E0014	EDU50	465 M/20	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Institut für Virologie	2020-06-17 13	:08	:12	3058
E0015	EDU50	465 M/21	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Medizinische Klinik, Abteilung für Gastroenterologie und Hepatologie	2020-06-17 13	:09	:31	3059
E0016	EDU50	465 M/3	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Klinik und Poliklinik für Dermatologie und Venerologie, Allergologie	2020-06-17 13	:09	:42	3060
E0017	EDU50	465 M/4	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Klinik und Poliklinik für Hals-, Nasen-, Ohrenheilkunde	2020-06-17 13	:10	:08	3061
E0018	EDU50	465 M/5	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Institut für Hygiene und Arbeitsmedizin	2020-06-17 13	:10	:33	3062
E0019	EDU50	465 M/6	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Institut für Medizinische Psychologie	2020-06-17 13	:11	:02	3063
E0020	EDU50	465 M/7	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Institut für Medizinische Mikrobiologie	2020-06-17 13	:11	:38	3064
E0021	EDU50	465 M/8	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Institut für Neuropathologie	2020-06-17 13	:12	:11	3065
E0022	EDU50	465 M/9	E	Universitätsbibliothek Essen, Fachbibliothek Medizin, Klinik und Poliklinik für Orthopädie	2020-06-17 13	:12	:31	3066
E0023	EDU50	465 M	E: UB,FB Medizin	Universitätsbibliothek Duisburg-Essen, Fachbibliothek Medizin	NULL	3067
E0024	EDU50	465 M/22	E	Universitätsbibliothek Essen, Fachbereich Physiologische Chemie	2020-06-17 13	:13	:02	3068
E0025	EDU50	465 M/23	E	Universitätsbibliothek Essen, Fachbereich Unfallchirurgie	2020-06-17 13	:13	:30	3069
E0026	EDU50	465 M/24	E	Universitätsbibliothek Essen, Fachbereich Knochenmarktransplantation	2020-06-17 13	:14	:03	3070
E0027	EDU50	465 M/25	E	Universitätsbibliothek Essen, Fachbereich Physiologie	2020-06-17 13	:14	:54	3071
E0028	EDU50	465 M/26	E	Universitätsbibliothek Essen, Fachbereich Humangenetik	2020-06-17 13	:15	:16	3072
E0029	EDU50	465 M/27	E	Universitätsbibliothek, Fachbibliothek Medizin, Institut für Medizinische Strahlenbiologie	2020-06-17 13	:15	:53	3073
