hsg_owner	hsg_adm	hsg_sigil	hsg_kurzbenennung	hsg_bibliothek	hsg_geloescht	hsg_id
A3024	HBZ60	82/128	AC: Biologie II	Lehrstuhl und Institut für Biologie II (Zoologie) der RWTH Aachen	NULL	3199
A3025	HBZ60	82/129	AC	Institut für Geometrie und praktische Mathematik der RWTH Aachen	2013-04-26 00	:00	:00	3200
A3026	HBZ60	82/130	AC	Abteilung Physikalische Chemie der Biopolymeren der RWTH Aachen	2006-12-01 00	:00	:00	3201
A3027	HBZ60	82/131	AC	Institut für Biologie IV  - Mikrobiologie -, Bibliothek	2002-07-15 00	:00	:00	3202
A3028	HBZ60	82/132	AC	Lehrstuhl für Lehrstuhl für Biologie VII - Angewandte Entomologie und Didaktik der Biologie -, Bibliothek	2002-07-15 00	:00	:00	3203
A3029	HBZ60	82/133	AC	Lehrstuhl für Biotechnologie der RWTH Aachen	2002-03-06 00	:00	:00	3204
A3030	HBZ60	82/134	AC	Lehrstuhl für Biologie V (Umweltanalytik) der RWTH Aachen	2006-05-30 00	:00	:00	3205
A3031	HBZ60	82/201	AC: Tragkonstruktionen	Lehrstuhl für Tragkonstruktionen der RWTH Aachen	NULL	3206
A3032	HBZ60	82/202	AC: Koop. Bibl.	Kooperierende Lehrstühle für	Planung: Lehrstühle für Planungstheorie, für Stadtbereichsplanung, für Städtebau, für Wohnbau,  Bibliothek	NULL	3207
A3033	HBZ60	82/203	AC: Baukonstruktion II	Lehrstuhl für Baukonstruktion II der RWTH Aachen	NULL	3208
A3034	HBZ60	82/204	AC: Entwerfen	Lehrstuhl für Gebäudelehre und Grundlagen des Entwerfens und Lehrgebiet Bauplanung und Entwerfen der RWTH Aachen, Gemeinsame Bibliothek	NULL	3209
A3035	HBZ60	82/205	AC: Baukonstruktion III	Lehrstuhl für Baukonstruktion III der RWTH Aachen	NULL	3210
A3036	HBZ60	82/207	AC: Bau- u. Raumgest.	Lehr- und Forschungsgebiet Bau- und Raumgestaltung der RWTH Aachen	NULL	3211
A3037	HBZ60	82/208	AC: Landschaftsarchit.	Lehrstuhl für Landschaftsarchitektur der RWTH Aachen	NULL	3212
A3038	HBZ60	82/209	AC: Bildner. Gestaltung	Lehrstuhl für Bildnerische Gestaltung der RWTH Aachen	NULL	3213
A3039	HBZ60	82/210	AC	Lehrstuhl für Stadtbereichsplanung und Werklehre der RWTH Aachen	2013-04-26 00	:00	:00	3214
A3040	HBZ60	82/211	AC: Kunstgeschichte	Lehrstuhl und Institut für Kunstgeschichte der RWTH Aachen	NULL	3215
A3041	HBZ60	82/212	AC: Arch.geschichte	Lehrstuhl für Architekturgeschichte, Bibliothek Arch.geschichte	NULL	3216
A3042	HBZ60	82/213	AC: Bauforschung	Institut für Bauforschung der RWTH Aachen (= A 31)	NULL	3217
A3043	HBZ60	82/214	AC	Lehrstuhl für Mechanik u. Baukonstruktionen der RWTH Aachen	2013-04-26 00	:00	:00	3218
A3044	HBZ60	82/215	AC: Baumaschinen	Institut für Baumaschinen und Baubetrieb der RWTH Aachen	NULL	3219
A3045	HBZ60	82/216	AC: Baustatik/Massivbau	Lehrstuhl für Baustatik und Baudynamik der RWTH	Aachen: Bibliothek	NULL	3220
A3046	HBZ60	82/217	AC: Stahlbau	Lehrstuhl für Stahlbau der RWTH Aachen	NULL	3221
A3047	HBZ60	82/218	AC: Verkehrswiss.	Lehrstuhl für Schienenbahnwesen und Verkehrswirtschaft und Verkehrswissenschaftliches Institut der RWTH Aachen	NULL	3222
A3048	HBZ60	82/219	AC: Stadtbauwesen	Institut für Stadtbauwesen und Stadtverkehr, Bibliothek	NULL	3223
A3049	HBZ60	82/220	AC: Straßenwesen	Institut für Straßenwesen der RWTH Aachen	NULL	3224
A3050	HBZ60	82/221	AC: GeotGrundBoden	Institut für Grundbau, Bodenmechanik, Felsmechanik und  Verkehrswasserbau der RWTH Aachen, Bibliothek	NULL	3225
A3051	HBZ60	82/222	AC: Wasserbau	Institut für Wasserbau und Wasserwirtschaft der RWTH Aachen	NULL	3226
A3052	HBZ60	82/223	AC: Siedlungswasserwirt	Lehrstuhl für Siedlungswasserwirtschaft und Siedlungsabfallwirtschaft und Institut für Siedlungswasserwirtschaft der RWTH Aachen (= A 34b)	NULL	3227
A3053	HBZ60	82/224	AC: Geodäsie	Lehrstuhl für Geodäsie und Geodätisches Institut der RWTH Aachen	NULL	3228
A3054	HBZ60	82/225	AC	Lehrstuhl für Plastik, Bibliothek	2016-01-11 00	:00	:00	3229
A3055	HBZ60	82/226	AC	Lehr- und Forschungsgebiet Planungsverfahren im Baubetrieb der RWTH Aachen	2004-05-06 00	:00	:00	3230
A3056	HBZ60	82/227	AC	FiW - Forschungsinstitut für Wasser- und Abfallwirtschaft e.V. der RWTH Aachen	2016-01-11 00	:00	:00	3231
A3057	HBZ60	82/301	AC	Lehrstuhl und Institut für Maschinenelemente und Maschinengestaltung der RWTH Aachen	2016-01-11 00	:00	:00	3232
A3058	HBZ60	82/302	AC: Werkstoffkunde	Institut für Werkstoffkunde der RWTH Aachen	NULL	3233
A3059	HBZ60	82/303	AC: Thermodynamik	Lehrstuhl für Technische Thermodynamik und Institut für Thermodynamik der RWTH Aachen	NULL	3234
A3060	HBZ60	82/304	AC: Wärmeübertragung	Lehrstuhl für Wärme- und Stoffübertragung der RWTH Aachen	NULL	3235
A3061	HBZ60	82/305	AC: Aerodynamik	Lehrstuhl für Strömungslehre und Aerodynamisches Institut der RWTH Aachen	NULL	3236
A3062	HBZ60	82/306	AC: Keram. Komponenten	Institut für keramische Komponenten im Maschinenbau der RWTH Aachen	NULL	3237
A3063	HBZ60	82/307	AC: Luft- u. Raumfahrt	Institut für Luft- und Raumfahrt, Institut für Leichtbau der RWTH	Aachen: Gemeinsame Bibliothek	NULL	3238
A3064	HBZ60	82/308	AC	Abt. Prozeßsteuerung in der Schweißtechnik der RWTH Aachen, Europäisches Centrum für Mechatronik	2004-09-22 00	:00	:00	3239
A3065	HBZ60	82/309	AC: Reaktorsicherheit	Lehrstuhl für Reaktorsicherheit und -technik der RWTH Aachen	NULL	3240
A3066	HBZ60	82/310	AC: Strahlantriebe	Institut für Strahlantriebe und Turboarbeitsmaschinen der RWTH Aachen	NULL	3241
A3067	HBZ60	82/311	AC: Dampf-/Gasturbinen	Institut für Dampf- und Gasturbinen der RWTH Aachen	NULL	3242
A3068	HBZ60	82/312	AC: Werkzeugmasch.		Name: Laboratorium für Werkzeugmaschinen und Betriebslehre - WZL - Lehrstuhl für Produktionssystematik, Lehrstuhl für Technologie der Fertigungsverfahren, Lehrstuhl für Werkzeugmaschinen, Lehrstuhl für Fertigungsmeßtechnik und Qualitätsmanagement, Bibliothek	NULL	3243
A3069	HBZ60	82/313	AC: Arbeitswiss.	Lehrstuhl und Institut für Arbeitswissenschaft der RWTH Aachen	NULL	3244
A3070	HBZ60	82/314	AC: Schweiß-/Fügetechn.	Lehrstuhl und Institut für Schweißtechnik und Fügetechnik der RWTH Aachen	NULL	3245
A3071	HBZ60	82/315	AC: Kunststoffverarb.	Lehrstuhl für Kunststoffverarbeitung der RWTH Aachen	NULL	3246
A3072	HBZ60	82/316	AC: Regelungstechnik	Lehrstuhl und Institut für Regelungstechnik der RWTH Aachen	NULL	3247
A3073	HBZ60	82/317	AC: Verfahrenstech.	Lehrstuhl für Chemische Verfahrenstechnik und Institut für Verfahrenstechnik der RWTH Aachen	NULL	3248
A3074	HBZ60	82/318	AC: Lasertechnik	Lehrstuhl für Lasertechnik der RWTH Aachen	NULL	3249
A3075	HBZ60	82/319	AC: Systemverfahrenst.	Lehrstuhl für Systemverfahrenstechnik der RWTH Aachen	NULL	3250
A3076	HBZ60	82/320	AC: Fluidtechn.Antriebe	Lehrstuhl und Institut für fluidtechnische Antriebe und Steuerungen der RWTH Aachen	NULL	3251
A3077	HBZ60	82/321	AC: Textiltechnik	Lehrstuhl für Textilmaschinenbau und Institut für Textiltechnik der RWTH Aachen	NULL	3252
A3078	HBZ60	82/322	AC: Kraftfahrwesen	Lehrstuhl und Institut für Kraftfahrwesen der RWTH Aachen	NULL	3253
A3079	HBZ60	82/323	AC: Schienenfahrzeuge	Lehrstuhl und Institut für Schienenfahrzeuge und Fördertechnik der RWTH Aachen	NULL	3254
A3080	HBZ60	82/324	AC: Getriebetechnik	Institut für Getriebetechnik und Maschinendynamik der RWTH Aachen	NULL	3255
A3081	HBZ60	82/325	AC: IMSE	Lehrstuhl und Institut für Maschinenelemente und Systementwicklung der RWTH Aachen	NULL	3256
A3082	HBZ60	82/326	AC: ThermVerfahren	Lehrstuhl für Thermische Verfahrenstechnik der RWTH Aachen	NULL	3257
A3083	HBZ60	82/327	AC: Verbrenn.kraftmasch	Lehrstuhl für Verbrennungskraftmaschinen der RWTH Aachen	NULL	3258
A3084	HBZ60	82/328	AC: Stoßwellenlab.	Lehr- und Forschungsgebiet Elektrische Antriebe der Raumfahrt - Stoßwellenlaboratorium -, Bibliothek	NULL	3259
A3085	HBZ60	82/329	AC	Lehr- und Forschungsgebiet Klebtechnik der RWTH Aachen	2004-05-06 00	:00	:00	3260
A3086	HBZ60	82/330	AC	Lehr- und Forschungsgebiet Strahlenschutz in der Kerntechnik der RWTH Aachen	2002-03-19 00	:00	:00	3261
A3087	HBZ60	82/331	AC	Lehr- und Forschungsgebiet Werkstoffkunde	2004-09-22 00	:00	:00	3262
A3088	HBZ60	82/332	AC: Bioverfahrenstechn.	Lehrstuhl für Bioverfahrenstechnik	NULL	3263
A3089	HBZ60	82/401	AC: MRE	Institute of Mineral Resources Engineering, Bibliothek	NULL	3264
A3090	HBZ60	82/402	AC: BGMR	Lehr- und Forschungsgebiet Betriebsmittel für die Gewinnung mineralischer Rohstoffe, Bibliothek	NULL	3265
A3091	HBZ60	82/403	AC: Bergbaukunde III	Institut für Bergbaukunde III der RWTH Aachen	NULL	3266
A3092	HBZ60	82/404	AC: Aufbereitung	Institut für Aufbereitung, Kokerei und Brikettierung und Lehrstuhl für Aufbereitung und Recycling fester Abfallstoffe der RWTH Aachen	NULL	3267
A3093	HBZ60	82/405	AC: Bergwerksmasch.	Institut für Bergwerks- und Hüttenmaschinenkunde der RWTH Aachen	NULL	3268
A3094	HBZ60	82/406	AC: Markscheidewesen	Institut für Markscheidewesen, Bergschadenkunde und Geophysik im Bergbau der RWTH Aachen	NULL	3269
A3095	HBZ60	82/407	AC: Geologie	Geologisches Institut der RWTH Aachen	NULL	3270
A3096	HBZ60	82/408	AC: Ingenieurgeologie	Lehrstuhl für Ingenieurgeologie und Hydrogeologie der RWTH Aachen	NULL	3271
A3097	HBZ60	82/409	AC: Mineralogie	Institut für Mineralogie und Lagerstättenlehre der RWTH Aachen	NULL	3272
A3098	HBZ60	82/410	AC: Kristallographie	Institut für Kristallographie der RWTH Aachen	NULL	3273
A3099	HBZ60	82/411	AC: Eisenhüttenkunde	Institut für Eisenhüttenkunde der RWTH Aachen	NULL	3274
A3100	HBZ60	82/412	AC: Gesteinshüttenkunde	Institut für Gesteinshüttenkunde der RWTH Aachen	NULL	3275
A3101	HBZ60	82/413	AC: Metall. Prozesst.	Lehrstuhl für Metallurgische Prozesstechnik und Metallrecycling, Bibliothek	NULL	3276
A3102	HBZ60	82/414	AC: Giesserei	Gießerei-Institut der RWTH Aachen	NULL	3277
A3103	HBZ60	82/415	AC: Bildsame Formgebung	Institut für Bildsame Formgebung der RWTH Aachen	NULL	3278
A3104	HBZ60	82/416	AC: Industrieofenbau	Institut für Industrieofenbau und Wärmetechnik im Hüttenwesen der RWTH Aachen	NULL	3279
A3105	HBZ60	82/417	AC:Metallkunde	Institut für Metallkunde und Metallphysik der RWTH Aachen	NULL	3280
A3106	HBZ60	82/418	AC: Werkstoffchemie	Lehrstuhl für Werkstoffchemie, Bibliothek	NULL	3281
A3107	HBZ60	82/419	AC: Geologie	Lehrstuhl für Geologie, Geochemie und Lagerstätten des Erdöls und der Kohle der RWTH Aachen	NULL	3282
A3108	HBZ60	82/420	AC: Angew. Geophysik	Lehr- und Forschungsgebiet Angewandte Geophysik der RWTH Aachen	NULL	3283
A3109	HBZ60	82/421	AC: Prozessleittechnik	Lehrstuhl für Prozeßleittechnik der RWTH Aachen	NULL	3284
A3110	HBZ60	82/422	AC	Lehr- und Forschungsgebiet Allgemeine und Historische Geologie der RWTH Aachen	2002-03-19 00	:00	:00	3285
A3111	HBZ60	82/423	AC: Berg-u. Umweltrecht	Lehr- und Forschungsgebiet Berg- und Umweltrecht	NULL	3286
A3112	HBZ60	82/501	AC: Bildverarbeitung	Lehrstuhl für Bildverarbeitung der RWTH Aachen	NULL	3287
A3113	HBZ60	82/502	AC: Elektrotechnik	Lehrstuhl für Allgemeine Elektrotechnik und Datenverarbeitungssysteme der RWTH Aachen	NULL	3288
A3114	HBZ60	82/503	AC: Theor.Elektrotechn.	Institut für theoretische Elektrotechnik, Erasmus-Erpel-Bibliothek, der RWTH Aachen	NULL	3289
A3115	HBZ60	82/504	AC	Institut für Werkstoffe der Elektrotechnik, Institut für Halbleitertechnik, Institut für technische Elektronik der RWTH Aachen	2013-04-26 00	:00	:00	3290
A3116	HBZ60	82/505	AC: Elektr. Maschinen	Institut für elektrische Maschinen der RWTH Aachen	NULL	3291
A3117	HBZ60	82/506	AC: Elektr. Anlagen	Institut für elektrische Anlagen und Energiewirtschaft der RWTH Aachen	NULL	3292
A3118	HBZ60	82/507	AC: Stromrichtertechnik	Institut für Stromrichtertechnik und elektrische Antriebe der RWTH Aachen	NULL	3293
A3119	HBZ60	82/508	AC: Nachrichtentechnik	Institut für Nachrichtentechnik der RWTH Aachen	NULL	3294
A3120	HBZ60	82/509	AC: Nachrichtengeräte	Institut für Nachrichtengeräte und Datenverarbeitung der RWTH Aachen	NULL	3295
A3121	HBZ60	82/510	AC: Techn. Akustik	Institut für Technische Akustik der RWTH Aachen	NULL	3296
A3122	HBZ60	82/511	AC: Hochfrequenztech	Institut für Hochfrequenztechnik der RWTH Aachen	NULL	3297
A3123	HBZ60	82/514	AC: Hochspannungstech.	Institut für Hochspannungstechnik der RWTH Aachen	NULL	3298
A3124	HBZ60	82/515	AC	Lehrstuhl für Betriebssysteme der RWTH Aachen	2014-05-07 00	:00	:00	3299
A3125	HBZ60	82/516	AC	Lehrstuhl für Kommunikationsnetze der RWTH Aachen	2014-05-19 00	:00	:00	3300
A3126	HBZ60	82/518	AC	Lehrstuhl für Geschichte der Technik der RWTH Aachen	2014-05-07 00	:00	:00	3301
A3127	HBZ60	82/520	AC: Techn. Informatik	Lehrstuhl für Technische Informatik der RWTH Aachen	NULL	3302
A3128	HBZ60	82/601	AC: Philosophie	Philosophisches Institut der RWTH Aachen	NULL	3303
A3129	HBZ60	82/602	AC: Psychologie	Institut für Psychologie, Bibliothek	NULL	3304
A3130	HBZ60	82/603	AC: Erziehungswiss.	Institut für Erziehungswissenschaft der RWTH Aachen	NULL	3305
A3131	HBZ60	82/604	AC: Historisches Inst.	Historisches Institut der RWTH Aachen	NULL	3306
A3132	HBZ60	82/608	AC: Geographie	Geographisches Institut der RWTH Aachen	NULL	3307
A3133	HBZ60	82/609	AC: Germanistik	Germanistisches Institut der RWTH Aachen	NULL	3308
A3134	HBZ60	82/611	AC: Anglistik	Institut für Anglistik der RWTH Aachen	NULL	3309
A3135	HBZ60	82/612	AC: Soziologie	Institut für Soziologie der RWTH Aachen	NULL	3310
A3136	HBZ60	82/613	AC: Polit. Wissensch.	Institut für politische Wissenschaft der RWTH Aachen	NULL	3311
A3137	HBZ60	82/615	AC: Wirtschaftswiss.	Fakultätsbibliothek der Fakultät für Wirtschaftswissenschaften der RWTH Aachen	NULL	3312
A3138	HBZ60	82/616	AC	Lehrstuhl für Psychologie der RWTH Aachen	2006-01-20 00	:00	:00	3313
A3139	HBZ60	82/618	AC: Theologie	Theologie-Bibliothek	NULL	3314
A3140	HBZ60	82/619	AC	Lehrgebiet Evangelische Theologie der RWTH Aachen (zsgelegt mit 82/618)	2001-08-13 00	:00	:00	3315
A3141	HBZ60	82/622	AC: Roman. Philologie	Institut für romanische Philologie der RWTH Aachen	NULL	3316
A3142	HBZ60	82/623	AC	Lehr- und Forschungsgebiet Komparatistik der RWTH Aachen	2004-09-22 00	:00	:00	3317
A3143	HBZ60	82/625	AC: Wirtsch.-/Soz.gesch	Lehr- und Forschungsgebiet Wirtschafts- und Sozialgeschichte der RWTH Aachen	NULL	3318
A3144	HBZ60	82/626	AC	Lehrstuhl für Volkswirtschaftslehre  Makroökonomie  der RWTH Aachen	2005-10-26 00	:00	:00	3319
A3145	HBZ60	82/630	AC	Fachbereichsbibliothek Wirtschaftswissenschaften und Europäisches Dokumentationszentrum (EDZ)	2006-01-20 00	:00	:00	3320
A3146	HBZ60	82/632	AC: Wirtschaftsdidaktik	Lehrstuhl für Wirtschaftsdidaktik der RWTH Aachen	NULL	3321
A3147	HBZ60	82/633	AC	Institut für Textiltechnik der RWTH Aachen	2002-07-15 00	:00	:00	3322
A3148	HBZ60	82/634	AC	Lehrstuhl für Bürgerliches Recht, Wirtschaftsrecht und Arbeitsrecht, Bibliothek	2021-08-30 11	:06	:52	3323
A3149	HBZ60	82/635	AC	Lehrstuhl für BWL, insbes. Betriebliche Finanzwirtschaft der RWTH Aachen	2002-07-15 00	:00	:00	3324
A3150	HBZ60	82/228	AC	Lehrgebiet für Freiraum- und Grünplanung, Bibliothek	2014-06-06 00	:00	:00	3325
A3151	HBZ60	82/135	AC	Institut für Numerische Mathematik der RWTH Aachen	2002-07-15 00	:00	:00	3326
A3152	HBZ60	82/333	AC: Laser-Messverfahren	Institut für Laser-Messverfahren in der Thermofluiddynamik der RWTH Aachen	NULL	3327
A3153	HBZ60	82/636	AC	Lehrstuhl für Englische Sprache und ihre Didaktik, Bibliothek	2006-01-20 00	:00	:00	3328
A3154	HBZ60	82/637	AC: Sprachenzentrum	Sprachenzentrum der Philosophischen Fakultät der RWTH Aachen	NULL	3329
A3155	HBZ60	82/006	AC: AStA	Allgemeiner Studierendenausschuss (AStA) der RWTH Aachen	NULL	3330
A3156	HBZ60	82/229	AC	Lehr- und Forschungsgebiet Computergestütztes Planen in der Architektur der RWTH Aachen	2016-04-15 00	:00	:00	3331
A3157	HBZ60	82/424	AC	Lehr- und Forschungsgebiet Herstellung mineralischer Baustoffe, Bibliothek	2004-09-22 00	:00	:00	3332
A3158	HBZ60	82/521	AC: Signalverarb.	Integrierte Systeme der Signalverarbeitung, Bibliothek	NULL	3333
A3159	HBZ60	82/522	AC: Med. Informationst.	Lehrstuhl für Medizinische Informationstechnik der RWTH Aachen	NULL	3334
A3160	HBZ60	82/230	AC: Abfallwirtschaft	Lehr- und Forschungsgebiet Abfallwirtschaft der RWTH Aachen	NULL	3335
A3161	HBZ60	82/334	AC: Mikrosysteme	Lehr- und Forschungsgebiet Konstruktion und Entwicklung von Mikrosystemen der RWTH Aachen	NULL	3336
A3162	HBZ60	82/007	AC: Sportzentrum	Hochschulsportzentrum der RWTH Aachen	NULL	3337
A3163	HBZ60	82/008	AC: Gleichstellungsst.	Die Gleichstellungsbeauftragte der RWTH Aachen	NULL	3338
A3164	HBZ60	82/009	AC: ACCESS	ACCESS e.V. - Materials + Processes, Bibliothek der RWTH Aachen	NULL	3339
A3165	HBZ60	82/231	AC	Lehr- und Forschungsgebiet Konstruktives Entwerfen der RWTH Aachen	2016-12-29 00	:00	:00	3340
A3166	HBZ60	82/010	AC: Filmstudio	Filmstudio an der RWTH Aachen e.V.	NULL	3341
A3167	HBZ60	82/011	AC: FIR	FIR - Forschungsinstitut für Rationalisierung e.V. der RWTH Aachen	NULL	3342
A3168	HBZ60	82/335	AC: CATS	Lehrstuhl für Computergestützte Analyse Technischer Systeme der RWTH Aachen	NULL	3343
A3169	HBZ60	82/336	AC: Medizintechnik	Lehrstuhl für Medizintechnik der BTH Aachen	NULL	3344
A3170	HBZ60	82/012	AC	Hochschularzt, Bibliothek der RWTH Aachen	2014-05-07 00	:00	:00	3345
A3171	HBZ60	82/206	AC: Stadtbaugeschichte	Lehr- und Forschungsgebiet Stadtbaugeschichte der RWTH Aachen	NULL	3346
A3172	HBZ60	82/512	AC	Rheinisch-Westfälische TH, Lehrstuhl für Halbleitertechnik und Institut für Halbleitertechnik	2014-09-16 00	:00	:00	3347
A3173	HBZ60	82/232	AC: BTH GDI	Lehr- und Forschungsgebiet Gender und Diversity in den Ingenieurwissenschaften	NULL	3348
A3174	HBZ60	82/337	AC: Leichtbau	Lehrstuhl und Institut für Leichtbau der RWTH Aachen	NULL	3349
A3175	HBZ60	82/115	AC: Didaktik Bio. Chem.	Lehr- und Forschungsgebiet Didaktik der Biologie und Chemie, Bibliothek	NULL	3350
A3176	HBZ60	82/523	AC: Höchstfrequenzelekt	Lehrstuhl für Höchstfrequenzelektronik der RWTH Aachen	NULL	3351
A3177	HBZ50	82/233	AC: Fachdidak Bautech.	Lehr- und Forschungsgebiet Fachdidaktik Bautechnik der RWTH Aachen	NULL	3352
A3178	HBZ60	82/638	AC: SignGes	Kompetenzzentrum für Gebärdensprache und Gestik	NULL	3353
A5001	HBZ60	A 96	AC: FHB Aachen	Fachhochschule Aachen	NULL	3354
B0001	HBZ60	294	BO: UB	Ruhr-Universität Bochum	NULL	3355
B1001	HBZ60	294/18	BO: FakB Wirtsch.wiss.	Fakultät für Wirtschaftswissenschaft der Ruhr-Universität Bochum	NULL	3356
B2001	HBZ60	294/11	BO: Historische Bibl.	Fakultät für Geschichtswissenschaft der Ruhr-Universität Bochum, Historische Bibliothek (frü	her: Bm11)	NULL	3357
B3001	HBZ60	294/39	BO: FakB Rechtswiss.	Fakultät für Rechtswissenschaft der Ruhr-Universität Bochum, Bibliothek	NULL	3358
B4001	HBZ60	294/10	BO: Geologie	Institut für Geologie, Mineralogie und Geophysik	NULL	3359
B4002	HBZ60	294/13	BO: FakB Mathematik	Fakultät für Mathematik der Ruhr-Universität Bochum	NULL	3360
B4003	HBZ60	294/14	BO: FakB Medizin	Medizinische Fakultät der Ruhr-Universität Bochum	NULL	3361
B4004	HBZ60	294/15	BO: FakB Ostasienwiss.	Fakultät für Ostasienwissenschaften der Ruhr-Universität Bochum	NULL	3362
B4005	HBZ60	294/16	BO: FakB Physik/Astron.	Fakultät für Physik und Astronomie der Ruhr-Universität Bochum	NULL	3363
B4006	HBZ60	294/17	BO: FakB Sozialwiss.	Fakultät für Sozialwissenschaft der Ruhr-Universität Bochum	NULL	3364
B4007	HBZ60	294/19	BO: Archäologie	Archäologisches Institut der Ruhr-Universität Bochum	NULL	3365
B4008	HBZ60	294/20	BO: Engl. Seminar	Fakultät für Philologie der Universität, Bibliothek, Englisches Seminar	NULL	3366
B4009	HBZ60	294/21	BO: Ev. Theologie	Evangelisch-Theologische Fakultät der Ruhr-Universität Bochum, Bibliothek	NULL	3367
B4010	HBZ60	294/22	BO: IB Verbundbibl.	IB Verbundbibliothek der Ruhr-Universität Bochum	NULL	3368
B4011	HBZ60	294/23	BO: Germanistik	Fakultät für Philologie der Universität, Bibliothek, Germanistisches Institut	NULL	3369
B4012	HBZ60	294/24	BO: Hegel-Archiv	Hegel-Archiv der Ruhr-Universität Bochum	NULL	3370
B4013	HBZ60	294/25	BO: Entwicklungsforsch.	Institut für Entwicklungsforschung und Entwicklungspolitik der Ruhr-Universität Bochum	NULL	3371
B4014	HBZ60	294/26	BO: FakB Sportwiss.	Fakultät für Sportwissenschaft der Ruhr-Universität Bochum	NULL	3372
B4015	HBZ60	294/27	BO: Pädagogik	Institut für Pädagogik der Ruhr-Universität Bochum	NULL	3373
B4016	HBZ60	294/28	BO: Philosophie	Institut für Philosophie der Ruhr-Universität Bochum	NULL	3374
B4017	HBZ60	294/29	BO: Sozialrecht	Institut für Sozialrecht der Ruhr-Universität Bochum	NULL	3375
B4018	HBZ60	294/30	BO: Kunstgeschichte	Kunstgeschichtliches Institut der Ruhr-Universität Bochum	NULL	3376
B4019	HBZ60	294/31	BO: Musikwissenschaft	Musikwissenschaftliches Institut der Ruhr-Universität Bochum	NULL	3377
B4020	HBZ60	294/32	BO: FakB Psychologie	Fakultät für Psychologie der Ruhr-Universität Bochum, Bibliothek	NULL	3378
B4021	HBZ60	294/33	BO: Roman. Seminar	Fakultät für Philologie der Universität, Bibliothek, Romanisches Seminar	NULL	3379
B4022	HBZ60	294/34	BO: Klass. Philologie	Fakultät für Philologie der Universität, Bibliothek, Seminar für klassische Philologie	NULL	3380
B4023	HBZ60	294/35	BO: Orientalistik	Fakultät für Philologie der Universität, Bibliothek, Seminar für Orientalistik	NULL	3381
B4024	HBZ60	294/36	BO: Slavistik	Fakultät für Philologie der Universität, Bibliothek, Seminar für Slavistik	NULL	3382
B4025	HBZ60	294/37	BO: Sprachwissenschaft	Fakultät für Philologie der Universität, Bibliothek, Sprachwissenschaftliches Institut	NULL	3383
B4026	HBZ60	294/38	BO: FakB Kath. Theologie	Katholisch-Theologische Fakultät der Ruhr-Universität Bochum, Bibliothek	NULL	3384
B4027	HBZ60	294/41	BO	Institut für soziale Bewegungen (vormals Institut zur Erforschung der europäischen Arbeiterbewegung) der Ruhr-Universität Bochum (s. Bm 3)	2002-03-06 00	:00	:00	3385
B4028	HBZ60	294/42	BO: Sprachlehrforschung	Fakultät für Philologie der Universität, Bibliothek, Seminar für Sprachlehrforschung	NULL	3386
B4029	HBZ60	294/43	BO: Astronomie	Astronomisches Institut der Ruhr-Universität Bochum	NULL	3387
B4030	HBZ60	294/44	BO	Institut für Unternehmungsführung und Unternehmensforschung (Pritzkoleitarchiv) der Ruhr-Universität Bochum	2020-06-17 12	:52	:38	3388
B4031	HBZ60	294/45	BO: Werkstoffe	Institut für Werkstoffe der Ruhr-Universität Bochum	NULL	3389
B4032	HBZ60	294/46	BO: Thermo-/Fluiddyn.	Institut für Thermo- und Fluiddynamik der Ruhr-Universität Bochum	NULL	3390
B4033	HBZ60	294/47	BO: Gesch. d. Medizin	Institut für Geschichte der Medizin der Ruhr-Universität Bochum	NULL	3391
B4034	HBZ60	294/48	BO: Berg-/Energierecht	Institut für Berg- und Energierecht der Ruhr-Universität Bochum	NULL	3392
B4035	HBZ60	294/49	BO: Konstruktionstechn.	Institut für Konstruktionstechnik der Ruhr-Universität Bochum	NULL	3393
B4036	HBZ60	294/50	BO: Automatis.technik	Institut für Automatisierungstechnik der Ruhr-Universität Bochum	NULL	3394
B4037	HBZ60	294/51	BO: FakB Bauingenieurws	Fakultät für Bauingenieurwesen der Ruhr-Universität Bochum	NULL	3395
B4038	HBZ60	294/52	BO: Mechanik	Institut für Mechanik der Ruhr-Universität Bochum	NULL	3396
B4039	HBZ60	294/53	BO: Energietechnik	Institut für Energietechnik der Ruhr-Universität Bochum	NULL	3397
B4040	HBZ60	294/54	BO	Zentralstelle für Präparationstechnik der Ruhr-Universität Bochum	2002-03-06 00	:00	:00	3398
B4041	HBZ60	294/55	BO: Medienwissenschaft	Fakultät für Philologie der Universität, Bibliothek, Institut für Medienwissenschaft	NULL	3399
B4042	HBZ60	294/56	BO: Deutschlandforschg	Institut für Deutschlandforschung der Ruhr-Universität Bochum	NULL	3400
B4043	HBZ60	294/57	BO: Friedenssich.recht	Institut für Friedenssicherungsrecht und Humanitäres Völkerrecht der Ruhr-Universität Bochum	NULL	3401
B4044	HBZ60	294/58	BO: Lotman-Institut	Fakultät für Philologie der Universität, Bibliothek, Lotman-Institut für Russische und Sowjetische Kultur	NULL	3402
B4045	HBZ60	294/59	BO: Neuroinformatik	Institut für Neuroinformatik	NULL	3403
B4046	HBZ60	294/60	BO: Arbeitswissenschaft	Institut für Arbeitswissenschaft	NULL	3404
