MainLibraryCode+SublibraryCode	ISIL
49HBZ_UBA+721	DE-82-721
49HBZ_UBA+722	DE-82-722
49HBZ_UBA+723	DE-82-723
49HBZ_UBA+724	DE-82-724
49HBZ_UBA+725	DE-82-725
49HBZ_UBA+726	DE-82-726
49HBZ_UBA+727	DE-82-727
49HBZ_UBA+728	DE-82-728
49HBZ_UBA+729	DE-82-729
49HBZ_UBA+730	DE-82-730
49HBZ_UBA+731	DE-82-731
49HBZ_UBA+732	DE-82-732
49HBZ_UBA+733	DE-82-733
49HBZ_UBA+734	DE-82-734
49HBZ_UBA+735a	DE-82-735a
49HBZ_UBA+735	DE-82-735
49HBZ_UBA+736	DE-82-736
49HBZ_UBA+737	DE-82-737
49HBZ_UBA+738	DE-82-738
49HBZ_UBA+739a	DE-82-739a
49HBZ_UBA+739b	DE-82-739b
49HBZ_UBA+739c	DE-82-739c
49HBZ_UBA+739	DE-82-739
49HBZ_UBA+740	DE-82-740
49HBZ_UBA+741	DE-82-741
49HBZ_UBA+742	DE-82-742
49HBZ_UBA+743	DE-82-743
49HBZ_UBA+744	DE-82-744
49HBZ_UBA+745	DE-82-745
49HBZ_UBA+746	DE-82-746
49HBZ_UBA+748	DE-82-748
49HBZ_UBA+749	DE-82-749
49HBZ_UBA+750	DE-82-750
49HBZ_UBA+751	DE-82-751
49HBZ_UBA+752	DE-82-752
49HBZ_UBA+753	DE-82-753
49HBZ_UBA+754	DE-82-754
49HBZ_UBA+755	DE-82-755
49HBZ_UBA+756	DE-82-756
49HBZ_UBA+757	DE-82-757
49HBZ_UBA+758	DE-82-758
49HBZ_UBA+759	DE-82-759
49HBZ_UBA+761	DE-82-761
49HBZ_UBA+762	DE-82-762
49HBZ_UBA+763	DE-82-763
49HBZ_UBA+764	DE-82-764
49HBZ_UBA+765	DE-82-765
49HBZ_UBA+766	DE-82-766
49HBZ_UBA+767	DE-82-767
49HBZ_UBA+768	DE-82-768
49HBZ_UBA+769	DE-82-769
49HBZ_UBA+770	DE-82-770
49HBZ_UBA+771	DE-82-771
49HBZ_UBA+772	DE-82-772
49HBZ_UBA+773	DE-82-773
49HBZ_UBA+774	DE-82-774
49HBZ_UBA+775	DE-82-775
49HBZ_UBA+777	DE-82-777
49HBZ_UBA+778	DE-82-778
49HBZ_UBA+779	DE-82-779
49HBZ_UBA+780	DE-82-780
49HBZ_UBA+781	DE-82-781
49HBZ_UBA+783	DE-82-783
49HBZ_UBA+785	DE-82-785
49HBZ_UBA+786	DE-82-786
49HBZ_UBA+787	DE-82-787
49HBZ_UBA+788	DE-82-788
49HBZ_UBA+789	DE-82-789
49HBZ_UBA+790	DE-82-790
49HBZ_UBA+791	DE-82-791
49HBZ_UBA+792	DE-82-792
49HBZ_UBA+793	DE-82-793
49HBZ_UBA+AICES	DE-82
49HBZ_UBA+ARCHIV	DE-82
49HBZ_UBA+BIB2	DE-82
49HBZ_UBA+CHEMBIB	DE-82
49HBZ_UBA+EMPTY	DE-82
49HBZ_UBA+IZ	DE-82
49HBZ_UBA+LBS	DE-82
49HBZ_UBA+MEDBIB	DE-82
49HBZ_UBA+PNZ	DE-82
49HBZ_UBA+RES_SHARE	DE-82
49HBZ_UBA+SCHREIBZEN	DE-82
49HBZ_UBA+SEMAPP	DE-82
49HBZ_UBA+ZB	DE-82
49HBZ_ULM+AEKO	DE-6-152
49HBZ_ULM+ALKU	DE-6-139a
49HBZ_ULM+AORI	DE-6-153
49HBZ_ULM+APHY	DE-6-037
49HBZ_ULM+ARAB	DE-6-154
49HBZ_ULM+ARCH	DE-6-311
49HBZ_ULM+BEK	DE-6-123
49HBZ_ULM+BYNE	DE-6-190
49HBZ_ULM+CASE	DE-6-338
49HBZ_ULM+CHEM	DE-6-005
49HBZ_ULM+CRZI	DE-6-339
49HBZ_ULM+DBIO	DE-6-298
49HBZ_ULM+DMAT	DE-6-293
49HBZ_ULM+DSAC	DE-6-295
49HBZ_ULM+EHRE	DE-6-276
49HBZ_ULM+EMPTY
49HBZ_ULM+ENGL	DE-6-020
49HBZ_ULM+ETHN	DE-6-193
49HBZ_ULM+EVT	DE-6-006
49HBZ_ULM+FBH	DE-6-248
49HBZ_ULM+FID	DE-6-N
49HBZ_ULM+GEOB	DE-6-026
49HBZ_ULM+GEOW	DE-6-007
49HBZ_ULM+GERM	DE-6-246
49HBZ_ULM+GPHY	DE-6-163
49HBZ_ULM+GRIE	DE-6-328
49HBZ_ULM+HLS	DE-6
49HBZ_ULM+HMB	DE-6-136
49HBZ_ULM+HUEF
