Wave	Name	Member Code	Institution Code	ISIL
	Museumsbibliothek der Stiftung Museum Schloss Moyland, Sammlung van der Grinten, Joseph Beuys Archiv des Landes Nordrhein-Westfalen, Bedburg-Hau (Bridge)	49HBZ_BRIDGE_MSM	7822	DE-Bed1
4	Haus der Geschichte des Ruhrgebiets	49HBZ_BDR	8974	DE-Bm3
4	Bibliothek des Ruhrgebiets, Bochum (Bridge)	49HBZ_BRIDGE_BDR	7508	DE-Bm3
	Museum Folkwang, Museumsbibliothek, Essen (Bridge)	49HBZ_BRIDGE_MFE	7827	DE-E10
4	Erzbischöfliche Diözesan- und Dombibliothek (EDK) - Bibliothek des Priesterseminars (BPS)	49HBZ_EDK	8971	DE-Kn28
4	Erzbischöfliche Diözesan- und Dombibliothek (Bridge)	49HBZ_BRIDGE_EDK	7507	DE-Kn28
	Kölnisches Stadtmuseum, Bibliothek (Bridge)	49HBZ_BRIDGE_KSB	7823	DE-Kn39
	Stadtarchiv Solingen, Bibliothek (Bridge)	49HBZ_BRIDGE_SAS	7830	DE-Sol1
4	Priesterseminar, Bibliothek, Trier (Bridge)	49HBZ_BRIDGE_PTR	7817	DE-Tr2
4	Hochschule Trier - Umwelt-Campus	49HBZ_HBT	8979	DE-Tr5
4	Bibliothek der Hochschule Trier (Bridge)	49HBZ_BRIDGE_HBT	7820	DE-Tr5
4	Dienstleistungszentrum ländlicher Raum (Bridge)	49HBZ_BRIDGE_DLR	7819	DE-Tr7
4	Wissenschaftliche Bibliothek der Stadt Trier	49HBZ_WBT	8972	DE-121
4	Wissenschaftliche Bibliothek der Stadt Trier (Bridge)	49HBZ_BRIDGE_WBT	7826	DE-121
	Bibliotheken ohne zentrale Katalogisierung (Bridge)	49HBZ_BRIDGE_FIZ	7816
	hbz Alma digital	49HBZ_DIG
4	Hochschule Kaiserslautern	49HBZ_HKL	8980	DE-1082
