Urheberkennung	Name der Bibliothek	ISIL-Bibliothek
2149	Regensburg RIOS SE3	DE-Re13
2150	Stuttgart Landesarchiv A1u2 FE3	DE-Stg285
2151	StadtALB FE3	DE-Lg4
2152	DHI Rom FE3	DE-2491
2153	Bautzen Sorbisches Institut SE3	DE-Bn1
2154	Hamburg Zeitgeschichte FE3	DE-H250
2155	Bad Oldesloe Kreisarchiv FE3	DE-2410
2164	Mainz Martinus-Bibl. FE1	DE-Mz2
2164	Mainz  Martinus-Bibl. FE3	DE-Mz2
2165	Frankfurt/M Fritz Bauer Inst. FE	DE-2508
2166	Rottweil Kreisarchiv FE3	DE-2156
2167	Karlsruhe HSB FE3	DE-751
2168	Freiburg PH FE3	DE-Frei129
2170	Berlin MPI Wiss.-Gesch. FE3	DE-B2226
2171	Clausthal-Z. UB FE3	DE-104
2172	Stade Landsch.-Verb. FE3	DE-Sta5
2173	Halle/S IWH FE3	DE-2173
2174	Berlin VÖBB Redaktion	DE-609
2174	Berlin VÖBB	DE-609
2175	Leipzig IFL GZB SE3	DE-185
2182	Stuttgart Hochsch Medien SE3	DE-958
2184	Kiel digiCULT-Verbund FE3	DE-2436
2186	Luebeck ZHB FE3	DE-841
2187	Koeln LVR-Dez. Kultur FE3	DE-2624
2188	Bonn LVR-LandesMuseum FE3	DE-Bo1
2189	Bern RISM CH FE1	CH-001555-8
2189	Bern RISM CH FE3	CH-001555-8
2190	Hamburg Kuehne Logistics UB FE3	DE-H376
2192	Gera DHGE FE3	DE-Ga20
2193	Bingen TH FE1	DE-Bin1
2193	Bingen TH FE3	DE-Bin1
2194	Limburg Dioez.-Bibl. FE1	DE-Li2
2194	Limburg Dioez.-Bibl. FE3	DE-Li2
2198	Leipzig GWZO FE3	DE-L327
2199	Furtwangen HS FE3	DE-Fn1
2200	Tuebingen KirchenmusikHS FE3	DE-Ess3
2201	Weimar Klassik Stiftung	DE-638
2202	Neubrandenburg HS FE3	DE-519
2203	Berlin EHB F3	DE-B1556
2204	Magdeburg MPI DKTS FE3	DE-Ma54
2206	Hannover NLD FE3	DE-2300
2207	Frankfurt/M. FSI FE1	DE-30-160
2208	Berlin KHSB FE3	DE-B2224
2209	Eutin LB FE3	DE-138
2210	Magdeburg Kulturhist Museum FE3	DE-Ma33
2211	Potsdam Zeithist Forsch FE3	DE-Po82
2212	Leipzig StB FE3	DE-197
2213	Hannover BGR SE3	DE-Hv112
2214	Gotha FB FE1	DE-39
2214	Gotha FB FE3	DE-39
2214	Gotha FB SE3	DE-39
2215	Zürich ZB SE1	CH-ZuZBS
2217	Reinach Pro Acta FE1	CH-002093-6
2218	LEO-BW-REGIONAL RED SE3	DE-641
2221	Ludwigsburg PH FE3	DE-Lg1
2222	Sigmaringen LRA FE3	DE-Sig4
2223	Biberach HBC FE3	DE-949
2224	Dresden HTW FE3	DE-520
2225	Dresden Senckenberg Geologie FE3	DE-D29
2226	Dresden Senckenberg Zoologie FE3	DE-D5
2227	Dresden Palucca-HS Tanz FE3	DE-2296
2228	Leipzig Samuel Heinicke Sch FE3	DE-L245
2230	Bregenz Vorarlberger LB SE1	AT-VLB
2231	Vaduz Liechtensteinische LB SE1	LI-VaLIL
2234	Offenbach Ledermuseum	DE-Of1
2235	Berlin Berlinische Galerie	DE-B1586
3032	Berlin BBF/DIPF	DE-B478
3032	Frankfurt/M DIPF	DE-F43
3110	Lueneburg UB, FE	DE-Luen4
4025	KÃ¶ln HBZ Elektron. Zsn [WWW 2]	DE-WWW2
4048	Witzenhausen Arch Jugendbew FE1	DE-2355
7777	GBV (GND)	DE-601
7777	GBV (GND)	DE-601
7777	GBV, FE	DE-601
7777	GBV, FE	DE-601
8007	Nationallizenzen (Paketpaten)	DE-600
8007	Nationallizenzen (Paketpaten)	DE-600
8012	Ev. Landeskirche Wuerttemberg	DE-Stg117
8100	Klagenfurt UB	AT-UBK
8109	Linz UB	AT-UBL
8110	Salzburg Univ. Mozarteum	AT-UBMS
8111	Salzburg UB	AT-UBS
8112	Graz UB	AT-UBG
8116	Innsbruck UB	AT-UBI
8117	Wien Kammer ArbeiterAngest.	AT-AKW
8121	Wien Oester. Akad. Wiss.	AT-OeAW
8122	Wien Oester. NB	AT-OeNB
8123	Wien Akad. bild. Künste SRU RU	AT-UBABW
8124	Wien Univ.angew.Kunst	AT-UBAW
8125	Wien Univ. Bodenkultur	AT-UBBW
8126	Wien Med. Univ. UB	AT-UBMUW
8127	Wien Univ. Musik Kunst	AT-UBMW
8128	Wien TU UB	AT-UBTUW
8129	Wien Veterinaermedizin.Univ.UB	AT-UBVUW
8130	Wien Univ. UB	AT-UBW
8131	Wien Wirtschaftsuniv. UB	AT-UBWW
8132	Wien Verbund Bildung Kultur	AT-VBK
8134	Fachhochschule St. PoÌˆlten	AT-FHSTP
8135	Fachhochschule Burgenland	AT-FHB
8136	Wien Bundesmin. f. Finanzen Bibl	AT-BMF
8137	Wien Max Perutz Library	AT-IMP
8138	Salzburg Stiftung Mozarteum	AT-MOZ
8139	Klagenfurt Landesmus. Kärnten	AT-LMK
8140	Wien MAK Österr. Mus. f. angew	AT-MAKW
8141	Wien Öster. Mus. f. Volkskunde	AT-VKW
8142	Graz FH d. Wirtschaft Campus 02	AT-FHWG
8143	Krems Donau Univ. Bib. SRU RU	AT-DUK-B
8144	Salzburg FH Bib. Kuchl. Urstein	AT-FHS
8145	Wien Mediathek	AT-FHCW
8146	Wien FH Studieng Wirtschaftskamm	AT-FHWW
8147	Linz OberoÌˆster Landeskulturein	AT-OOeLK
8148	Salzburg Paracelsus Med Priv Uni	AT-PMUS
8149	Wien Wienbibliothek	AT-WBR
8150	Wien DioÌˆzesanbibliothek	AT-DBW
8151	Wien Jüd. Mus.	AT-JWM
8152	Linz Lentos Kunstmuseum	AT-LENT
8153	Leoben MUL	AT-UBMUL
8154	Admont Benediktinerstift	AT-STFTADMONT
8155	GRAZ TU HB	AT-UBTUG-HB
8156	Wien Wiesenthal Inst. Holocaust	AT-VWIHS
8157	SLSP Zürich	CH-ZuSLS
8158	Linz  Anton Bruckner Privatuniv.	AT-ABPU
8159	DioÌˆzese Linz	AT-DLI
8160	Wien FH bfi	AT-FHBFIW
8161	FH Kärnten Bibliothek	AT-FHK
8162	FH Joanneum Bibliothek	AT-FHJ
8163	FH OberoÌˆsterreich Bibliothek	AT-FHOOe
8164	Fachhochschule Technikum Wien	AT-FTW
8165	Bundesministerium BMEIA	AT-BMA
8166	DioÌˆzesanbibliothek Salzburg	AT-DBSBG
8167	DioÌˆzese St. PoÌˆlten	AT-DSP
8168	Salzburger Landesarchiv	AT-SLA
8169	Zisterzienserstift Heiligenkreuz	AT-STFTHLGKR-BIB
8170	MODUL University Vienna	AT-MUV
8171	New Design University	AT-NDU
8172	Albertina Wien	AT-GSA
8173	DioÌˆzese Gurk-Klagenfurt	AT-DBGK
8174	Sigmund-Freud-Privatstiftung	AT-SFP
8175	Galerie Belvedere, Bibliothek	AT-OeGW
8176	Burgenland PH	AT-PHB
8177	Wien AT Parlamentsbibliothek	AT-PARL
8178	Wien BMI SIAK Bibliothek	AT-SIAK
8179	Kufstein FH, Bibliothek	AT-FKU
8180	Graz KUG UB	AT-UBMG
8181	Salzburg Museum	AT-MCA
8182	Graz Medizinische Universität	AT-UBMUG
8478	Luzern ZHB SE1	CH-LnZHB
8500	OBVSG Wien	AT-OBV
8508	Linz UB künst. indust. Gestal.	AT-UBGL
8897	München Bay. Verdienstorden	DE-2045
8999	Muenchen BVB-Zentrale	DE-12
9001	ZR Titel	DE-600
9001	ZR Titel	DE-600
9001	SBB ZR Titel, FE Red	DE-600
9002	ZR GKD	DE-1
9002	Berlin SBB ZR GKD FE1	DE-1
9003	GKD-Redaktion DDB Frankfurt	DE-101
9004	GKD-Redaktion BSB	DE-12
9005	GKD-Redaktion Oesterreich	AT-OBV
9009	Offline GKD BSZ	DE-576
9019	GKD-Redaktion DDB Leipzig	DE-101
9019	GKD-Redaktion DDB Leipzig	DE-101
9999	OFFLINE	DE-101




