Urheberkennung	Name der Bibliothek	ISIL-Bibliothek
0056	Braunschweig StBi	DE-56
0059	Chemnitz STB (Level 3)	DE-59
0066	Fulda HLB [66]	DE-66
0066	Fulda HLB, FE-Red	DE-66
0066	Fulda HLB, FE	DE-66
0068	Kiel LB, FE	DE-68
0068	Kiel LB SE3	DE-68
0075	Nuernberg StB, FE	DE-75
0077	Mainz UB [77]	DE-77
0077	Mainz UB, FE-Red	DE-77
0077	Mainz UB, FE	DE-77
0083	Berlin UB TU, SE	DE-83
0083	Berlin UB TU, FE	DE-83
0083	Berlin, UB TU, GKD	DE-83
0084	Braunschweig UB TU, FE	DE-84
0089	Hannover TIB FE3	DE-89
0089	Hannover TIB/UB (Level 3)	DE-89
0090	Karlsruhe UB, FE	DE-90
0090	Karlsruhe UB (KIT) (Level 3)	DE-90
0090	Karlsruhe UB (KIT) (Level 4)	DE-90
0091	Muenchen TU, FE-Red	DE-91
0091	Muenchen TU, FE	DE-91
0093	Stuttgart UB [93]	DE-93
0093	Stuttgart UB, FE	DE-93
0093	Stuttgart UB (Level 3)	DE-93
0093	Stuttgart UB (Level 4)	DE-93
0095	Hannover TierHS, FE-Red	DE-95
0095	Hannover TierHS, FE	DE-95
0100	Stuttgart UB Hohenheim, FE	DE-100
0100	Stuttgart-Hoh. KIM (Level 3)	DE100
0100	Stuttgart-Hoh. KIM (Level 4)	DE-100
0103	SBB / ZKA	DE-611
0103	SBB / ZKA (Level 1)	DE-611
0103	SBB / ZKA (Level 1)	DE-611
0104	Clausthal-Z. UB [104]	DE-104
0105	Freiberg TU BA, FE	DE-105
0105	Freiberg TU BA (Level 3)	DE-105
0105	Freiberg TU BA (Level 4)	DE-105
0125	Zwickau RSB	DE-125
0125	Zwickau RSB SE3	DE-125
0180	Mannheim UB, FE	DE-180
0180	Mannheim UB (Level 3)	DE-180
0180	Mannheim UB (Level 4)	DE-180
0188	Berlin UB FU, SE-Red	DE-188
0204	Berlin IAI FE1	DE-204
0204	Berlin IAI FE3	DE-204
0206	Kiel ZBW [206]	DE-206
0206	Kiel ZBW WGL FE1	DE-206
0206	Kiel ZBW WGL FE3	DE-206
0208	Karlsruhe BGH (Level 3)	DE-208
0212	Stuttgart Inst. Auslandsbez, FE	DE-212
0212	Stuttgart IFAS SE3	DE-212
0253	Braunschweig FAL, FE	DE-253
0255	München ZIKG [255]	DE-255
0255	Muenchen ZIKG, FE-Red.	DE-255
0255	München ZIKG [255]	DE-255
0255	Rom Bibl. Hertziana [Y2]	DE-Y2
0255	Rom Bibl. Hertziana [Y2]	DE-Y2
0255	Florenz KHI [Y3]	DE-Y3
0255	Florenz KHI, FE-Red.	DE-Y3
0255	Florenz KHI [Y3]	DE-Y3
0255	Paris DFK, SE	DE-Y7
0255	Paris DFK, FE	DE-Y7
0281	Berlin Bundestag Bibliothek FE3	DE-281
0289	Ulm UB, FE	DE-289
0289	Ulm UB (KIZ) (Level 3)	DE-289
0289	Ulm UB (KIZ) (FE Level 4)	DE-289
0291	Saarbrücken UuLB [291]	DE-291
0291	Saarbrücken SULB [291]	DE-0291
0291	Saarbruecken SULB, FE	DE-291
0291	Saarbruecken SULB (Level 3)	DE-291
0291	Saarbruecken SULB (Level 4)	DE-291
0296	Singen Hegau-B	DE-296
0352	Konstanz UB [352]	DE-352
0352	Konstanz UB, FE	DE-352
0352	Konstanz UB (Level 3)	DE-352
0352	Konstanz UB (Level 4)	DE-352
0354	Hannover Med HS, FE	DE-354
0354	Hannover Med. HS (Level 3)	DE-354
0355	Regensburg UB, SE-Red	DE-355
0355	Regensburg UB, FE-Red	DE-355
0355	Regensburg UB, FE	DE-355
0384	Augsburg UB, SE-Red	DE-384
0384	Augsburg UB, FE-Red.	DE-384
0384	Augsburg UB, FE	DE-384
0384	Augsburg UB, VD17	DE-384
0460	Darmstadt Staatsarchiv	DE-460
0468	Wuppertal UB [468]	DE-468
0473	Bamberg UB, FE-Red	DE-473
0473	Bamberg UB, FE	DE-473
0500	HBZ	DE-605
