item	itemLabel,types,coordinates
http://www.wikidata.org/entity/Q1669118	Münster-Geistviertel,http://www.wikidata.org/entity/Q253019,Point(7.61667 51.9417)
http://www.wikidata.org/entity/Q1737566	Schnorrenberg,http://www.wikidata.org/entity/Q253019,Point(6.441819444 50.423183333)
http://www.wikidata.org/entity/Q1742468	Kirchborchen,http://www.wikidata.org/entity/Q253019,Point(8.716666666 51.666666666)
http://www.wikidata.org/entity/Q1921877	Merl,http://www.wikidata.org/entity/Q253019,Point(7.05523 50.6306)
http://www.wikidata.org/entity/Q1307269	Sankt Vit,http://www.wikidata.org/entity/Q253019,Point(8.2775 51.8255)
http://www.wikidata.org/entity/Q1530418	Gleidorf,http://www.wikidata.org/entity/Q253019,Point(8.31278 51.1644)
http://www.wikidata.org/entity/Q181981	Lienen,http://www.wikidata.org/entity/Q262166,Point(7.98333 52.15)
http://www.wikidata.org/entity/Q1592952	Hecke,http://www.wikidata.org/entity/Q253019,Point(7.71167 51.0047)
http://www.wikidata.org/entity/Q153419	Nothberg,http://www.wikidata.org/entity/Q253019,Point(6.29361 50.8094)
http://www.wikidata.org/entity/Q1546849	Grimlinghausen,http://www.wikidata.org/entity/Q253019,Point(6.74083 51.1775)
http://www.wikidata.org/entity/Q1263809	Methler,http://www.wikidata.org/entity/Q253019,Point(7.6 51.566666666)
http://www.wikidata.org/entity/Q1759911	Kreis Rees,"http://www.wikidata.org/entity/Q106658, http://www.wikidata.org/entity/Q5283531",Point(6.616666666 51.666666666)
http://www.wikidata.org/entity/Q1409188	Rill,http://www.wikidata.org/entity/Q253019,Point(6.53991 51.6)
http://www.wikidata.org/entity/Q57405463	Herringhausen,http://www.wikidata.org/entity/Q253019,Point(8.282222222 51.653333333)
http://www.wikidata.org/entity/Q1271254	Dörgen,http://www.wikidata.org/entity/Q253019,Point(7.505 50.8583)
http://www.wikidata.org/entity/Q1749999	Schwerfen,http://www.wikidata.org/entity/Q253019,Point(6.646666666 50.643611111)
http://www.wikidata.org/entity/Q450660	Alzen,http://www.wikidata.org/entity/Q253019,Point(6.26315 50.5281)
http://www.wikidata.org/entity/Q1948878	Mosblech,http://www.wikidata.org/entity/Q253019,Point(7.28638 51.2451)
http://www.wikidata.org/entity/Q19310644	Unterthal,http://www.wikidata.org/entity/Q253019,Point(7.192728 51.011403)
http://www.wikidata.org/entity/Q1261376	Harlinghausen,http://www.wikidata.org/entity/Q253019,Point(8.48472 52.3133)
http://www.wikidata.org/entity/Q1268302	Schophoven,http://www.wikidata.org/entity/Q253019,Point(6.396111111 50.877222222)
http://www.wikidata.org/entity/Q1258011	Dreine,http://www.wikidata.org/entity/Q253019,Point(7.42194 51.1356)
http://www.wikidata.org/entity/Q1363657	Erwitzen,http://www.wikidata.org/entity/Q253019,Point(9.12025 51.7694)
http://www.wikidata.org/entity/Q698809	Arpe,http://www.wikidata.org/entity/Q253019,Point(8.20111 51.1842)
http://www.wikidata.org/entity/Q17543808	Persebeck-Kruckel-Schnee,http://www.wikidata.org/entity/Q253019,Point(7.41666667 51.44722222)
http://www.wikidata.org/entity/Q1817623	Lengenbeck,http://www.wikidata.org/entity/Q253019,Point(8.40477 51.1754)
http://www.wikidata.org/entity/Q1495352	Gassenhagen,http://www.wikidata.org/entity/Q253019,Point(7.51028 50.935)
http://www.wikidata.org/entity/Q994244	Bruscheid,http://www.wikidata.org/entity/Q253019,Point(7.14665 51.1917)
http://www.wikidata.org/entity/Q204488	Wormbach,http://www.wikidata.org/entity/Q253019,Point(8.25639 51.1667)
http://www.wikidata.org/entity/Q1433123	Wöbbel,http://www.wikidata.org/entity/Q253019,Point(9.1012 51.8976)
http://www.wikidata.org/entity/Q889284	Bockum,http://www.wikidata.org/entity/Q253019,Point(6.61667 51.35)
http://www.wikidata.org/entity/Q758375	Au (Sieg),http://www.wikidata.org/entity/Q253019,Point(7.65299 50.7731)
